report_period,town,prescription_count,rate_per_1000
2022 Quarter 4,Morris,141,62.42
2022 Quarter 4,Naugatuck,2159,68.69
2022 Quarter 4,New Britain,3421,46.33
2022 Quarter 4,New Canaan,2612,125.99
2022 Quarter 4,New Fairfield,1268,93.61
2022 Quarter 4,New Hartford,586,87.88
2022 Quarter 4,New Haven,6260,46.34
2022 Quarter 4,New London,2233,80.8
2022 Quarter 4,New Milford,2618,92.9
2022 Quarter 4,Newington,2178,71.73
2022 Quarter 4,Newtown,2888,104.93
2022 Quarter 4,Norfolk,109,68.68
2022 Quarter 4,North Branford,1249,92.53
2022 Quarter 4,North Canaan,26,8.16
2022 Quarter 4,North Haven,2287,94.63
2022 Quarter 4,North Stonington,479,93.25
2022 Quarter 4,Norwalk,5431,59.55
2022 Quarter 4,Norwich,3591,89.74
2022 Quarter 4,Old Lyme,902,119.04
2022 Quarter 4,Old Saybrook,1139,107.83
2022 Quarter 4,Orange,1039,72.93
2022 Quarter 4,Oxford,1133,88.74
2022 Quarter 4,Plainfield,1353,90.45
2022 Quarter 4,Plainville,1391,79.74
2022 Quarter 4,Plymouth,979,83.97
2022 Quarter 4,Pomfret,452,105.83
2022 Quarter 4,Portland,909,96.07
2022 Quarter 4,Preston,517,107.66
2022 Quarter 4,Prospect,732,78.34
2022 Quarter 4,Putnam,969,105.02
2022 Quarter 4,Redding,916,104.87
2022 Quarter 4,Ridgefield,2697,107.83
2022 Quarter 4,Rocky Hill,1389,66.95
2022 Quarter 4,Roxbury,179,78.89
2022 Quarter 4,Salem,386,91.9
2022 Quarter 4,Salisbury,278,67.61
2022 Quarter 4,Scotland,40,25.51
2022 Quarter 4,Seymour,1467,87.95
2022 Quarter 4,Sharon,164,61.31
2022 Quarter 4,Shelton,3088,74.46
2022 Quarter 4,Sherman,328,93.16
2022 Quarter 4,Simsbury,2372,95.62
2022 Quarter 4,Somers,783,76.17
